episode,agent,opponent,goals_scored,goals_conceded,result
248,base2,base,3,2,win
249,base,base2,3,2,win
249,base2,base,2,3,lose
250,base,base2,3,2,win
250,base2,base,2,3,lose
251,base,base2,2,3,lose
251,base2,base,3,2,win
252,base,base2,2,3,lose
252,base2,base,2,3,lose
253,base,base2,3,2,win
253,base2,base,3,2,win
254,base,base2,3,2,win
254,base2,base,2,3,lose
255,base,base2,2,3,lose
255,base2,base,2,3,lose
256,base,base2,2,3,lose
256,base2,base,3,2,win
257,base,base2,2,3,lose
257,base2,base,3,2,win
258,base,base2,3,2,win
258,base2,base,2,3,lose
259,base,base2,2,3,lose
259,base2,base,2,3,lose
260,base,base2,3,2,win
260,base2,base,2,3,lose
261,base,base2,2,3,lose
261,base2,base,3,2,win
262,base,base2,3,2,win
262,base2,base,2,3,lose
263,base,base2,2,3,lose
263,base2,base,2,3,lose
264,base,base2,2,3,lose
264,base2,base,3,2,win
265,base,base2,2,3,lose
265,base2,base,2,3,lose
266,base,base2,2,3,lose
266,base2,base,3,2,win
267,base,base2,2,3,lose
267,base2,base,2,3,lose
268,base,base2,3,2,win
268,base2,base,2,3,lose
269,base,base2,2,3,lose
269,base2,base,3,2,win
270,base,base2,3,2,win
270,base2,base,3,2,win
271,base,base2,3,2,win
271,base2,base,3,2,win
272,base,base2,3,2,win
272,base2,base,2,3,lose
273,base,base2,3,2,win
273,base2,base,3,2,win
274,base,base2,2,3,lose
274,base2,base,2,3,lose
275,base,base2,3,2,win
275,base2,base,3,2,win
276,base,base2,2,3,lose
276,base2,base,2,3,lose
277,base,base2,3,2,win
277,base2,base,2,3,lose
278,base,base2,3,2,win
278,base2,base,3,2,win
279,base,base2,2,3,lose
279,base2,base,2,3,lose
280,base,base2,3,2,win
280,base2,base,3,2,win
281,base,base2,2,3,lose
281,base2,base,3,2,win
282,base,base2,2,3,lose
282,base2,base,2,3,lose
283,base,base2,2,3,lose
283,base2,base,3,2,win
284,base,base2,2,3,lose
284,base2,base,3,2,win
285,base,base2,3,2,win
285,base2,base,3,2,win
286,base,base2,3,2,win
286,base2,base,2,3,lose
287,base,base2,3,2,win
287,base2,base,3,2,win
288,base,base2,3,2,win
288,base2,base,3,2,win
289,base,base2,3,2,win
289,base2,base,2,3,lose
290,base,base2,2,3,lose
290,base2,base,2,3,lose
291,base,base2,2,3,lose
291,base2,base,3,2,win
292,base,base2,2,3,lose
292,base2,base,2,3,lose
293,base,base2,3,2,win
293,base2,base,2,3,lose
294,base,base2,3,2,win
294,base2,base,3,2,win
295,base,base2,3,2,win
295,base2,base,2,3,lose
296,base,base2,2,3,lose
296,base2,base,2,3,lose
297,base,base2,3,2,win
297,base2,base,2,3,lose
298,base,base2,3,2,win
298,base2,base,2,3,lose
299,base,base2,3,2,win
299,base2,base,3,2,win
300,base,base2,2,3,lose
300,base2,base,2,3,lose
301,base,base2,2,3,lose
301,base2,base,2,3,lose
302,base,base2,3,2,win
302,base2,base,3,2,win
303,base,base2,2,3,lose
303,base2,base,2,3,lose
304,base,base2,3,2,win
304,base2,base,2,3,lose
305,base,base2,3,2,win
305,base2,base,2,3,lose
306,base,base2,2,3,lose
306,base2,base,3,2,win
307,base,base2,3,2,win
307,base2,base,2,3,lose
308,base,base2,3,2,win
308,base2,base,2,3,lose
309,base,base2,3,2,win
309,base2,base,2,3,lose
310,base,base2,2,3,lose
310,base2,base,2,3,lose
311,base,base2,3,2,win
311,base2,base,3,2,win
312,base,base2,2,3,lose
312,base2,base,2,3,lose
313,base,base2,2,3,lose
313,base2,base,3,2,win
314,base,base2,3,2,win
314,base2,base,3,2,win
315,base,base2,3,2,win
315,base2,base,3,2,win
316,base,base2,2,3,lose
316,base2,base,3,2,win
317,base,base2,3,2,win
317,base2,base,3,2,win
318,base,base2,3,2,win
318,base2,base,3,2,win
319,base,base2,2,3,lose
319,base2,base,3,2,win
320,base,base2,3,2,win
320,base2,base,2,3,lose
321,base,base2,2,3,lose
321,base2,base,2,3,lose
322,base,base2,2,3,lose
322,base2,base,2,3,lose
323,base,base2,2,3,lose
323,base2,base,2,3,lose
324,base,base2,2,3,lose
324,base2,base,2,3,lose
325,base,base2,3,2,win
325,base2,base,3,2,win
326,base,base2,2,3,lose
326,base2,base,3,2,win
327,base,base2,3,2,win
327,base2,base,3,2,win
328,base,base2,2,3,lose
328,base2,base,3,2,win
329,base,base2,2,3,lose
329,base2,base,3,2,win
330,base,base2,2,3,lose
330,base2,base,3,2,win
331,base,base2,3,2,win
331,base2,base,3,2,win
332,base,base2,2,3,lose
332,base2,base,3,2,win
333,base,base2,2,3,lose
333,base2,base,2,3,lose
334,base,base2,2,3,lose
334,base2,base,2,3,lose
335,base,base2,3,2,win
335,base2,base,2,3,lose
336,base,base2,3,2,win
336,base2,base,3,2,win
337,base,base2,3,2,win
337,base2,base,3,2,win
338,base,base2,2,3,lose
338,base2,base,3,2,win
339,base,base2,3,2,win
339,base2,base,3,2,win
340,base,base2,2,3,lose
340,base2,base,2,3,lose
341,base,base2,2,3,lose
341,base2,base,3,2,win
342,base,base2,2,3,lose
342,base2,base,2,3,lose
343,base,base2,2,3,lose
343,base2,base,3,2,win
344,base,base2,2,3,lose
344,base2,base,3,2,win
345,base,base2,2,3,lose
345,base2,base,2,3,lose
346,base,base2,2,3,lose
346,base2,base,2,3,lose
347,base,base2,3,2,win
347,base2,base,2,3,lose
348,base,base2,2,3,lose
348,base2,base,2,3,lose
349,base,base2,2,3,lose
349,base2,base,3,2,win
350,base,base2,3,2,win
350,base2,base,3,2,win
351,base,base2,2,3,lose
351,base2,base,3,2,win
352,base,base2,2,3,lose
352,base2,base,3,2,win
353,base,base2,2,3,lose
353,base2,base,2,3,lose
354,base,base2,2,3,lose
354,base2,base,3,2,win
355,base,base2,2,3,lose
355,base2,base,3,2,win
356,base,base2,2,3,lose
356,base2,base,2,3,lose
357,base,base2,2,3,lose
357,base2,base,2,3,lose
358,base,base2,2,3,lose
358,base2,base,3,2,win
359,base,base2,2,3,lose
359,base2,base,3,2,win
360,base,base2,3,2,win
360,base2,base,3,2,win
361,base,base2,2,3,lose
361,base2,base,3,2,win
362,base,base2,2,3,lose
362,base2,base,2,3,lose
363,base,base2,2,3,lose
363,base2,base,3,2,win
364,base,base2,3,2,win
364,base2,base,2,3,lose
365,base,base2,2,3,lose
365,base2,base,2,3,lose
366,base,base2,2,3,lose
366,base2,base,2,3,lose
367,base,base2,2,3,lose
367,base2,base,3,2,win
368,base,base2,3,2,win
368,base2,base,2,3,lose
369,base,base2,2,3,lose
369,base2,base,3,2,win
370,base,base2,2,3,lose
370,base2,base,2,3,lose
371,base,base2,2,3,lose
371,base2,base,2,3,lose
372,base,base2,3,2,win
372,base2,base,2,3,lose
373,base,base2,2,3,lose
373,base2,base,2,3,lose
374,base,base2,3,2,win
374,base2,base,2,3,lose
375,base,base2,3,2,win
375,base2,base,3,2,win
376,base,base2,3,2,win
376,base2,base,2,3,lose
377,base,base2,2,3,lose
377,base2,base,2,3,lose
378,base,base2,3,2,win
378,base2,base,2,3,lose
379,base,base2,2,3,lose
379,base2,base,2,3,lose
380,base,base2,2,3,lose
