episode,agent,opponent,goals_scored,goals_conceded,result
142,no_limit,base,2,3,lose
143,base,no_limit,3,2,win
143,no_limit,base,2,3,lose
144,base,no_limit,3,2,win
144,no_limit,base,2,3,lose
145,base,no_limit,3,2,win
145,no_limit,base,3,2,win
146,base,no_limit,2,3,lose
146,no_limit,base,3,2,win
147,base,no_limit,2,3,lose
147,no_limit,base,3,2,win
148,base,no_limit,3,2,win
148,no_limit,base,2,3,lose
149,base,no_limit,3,2,win
149,no_limit,base,3,2,win
150,base,no_limit,3,2,win
150,no_limit,base,3,2,win
151,base,no_limit,3,2,win
151,no_limit,base,2,3,lose
152,base,no_limit,2,3,lose
152,no_limit,base,3,2,win
153,base,no_limit,3,2,win
153,no_limit,base,2,3,lose
154,base,no_limit,3,2,win
154,no_limit,base,3,2,win
155,base,no_limit,2,3,lose
155,no_limit,base,3,2,win
156,base,no_limit,3,2,win
156,no_limit,base,3,2,win
157,base,no_limit,2,3,lose
157,no_limit,base,2,3,lose
158,base,no_limit,3,2,win
158,no_limit,base,3,2,win
159,base,no_limit,3,2,win
159,no_limit,base,2,3,lose
160,base,no_limit,3,2,win
160,no_limit,base,2,3,lose
161,base,no_limit,3,2,win
161,no_limit,base,2,3,lose
162,base,no_limit,3,2,win
162,no_limit,base,3,2,win
163,base,no_limit,3,2,win
163,no_limit,base,1,4,lose
164,base,no_limit,2,3,lose
164,no_limit,base,3,2,win
165,base,no_limit,2,3,lose
165,no_limit,base,3,2,win
166,base,no_limit,2,3,lose
166,no_limit,base,2,3,lose
167,base,no_limit,3,2,win
167,no_limit,base,3,2,win
168,base,no_limit,3,2,win
168,no_limit,base,2,3,lose
169,base,no_limit,3,2,win
169,no_limit,base,3,2,win
170,base,no_limit,3,2,win
170,no_limit,base,2,3,lose
171,base,no_limit,3,2,win
171,no_limit,base,2,3,lose
172,base,no_limit,3,2,win
172,no_limit,base,3,2,win
173,base,no_limit,2,3,lose
173,no_limit,base,2,3,lose
174,base,no_limit,2,3,lose
174,no_limit,base,3,2,win
175,base,no_limit,3,2,win
175,no_limit,base,3,2,win
176,base,no_limit,3,2,win
176,no_limit,base,3,2,win
177,base,no_limit,3,2,win
177,no_limit,base,3,2,win
178,base,no_limit,3,2,win
178,no_limit,base,2,3,lose
179,base,no_limit,3,2,win
179,no_limit,base,3,2,win
180,base,no_limit,3,2,win
180,no_limit,base,2,3,lose
181,base,no_limit,2,3,lose
181,no_limit,base,3,2,win
182,base,no_limit,2,3,lose
182,no_limit,base,2,3,lose
183,base,no_limit,2,3,lose
183,no_limit,base,2,3,lose
184,base,no_limit,2,3,lose
184,no_limit,base,3,2,win
185,base,no_limit,2,3,lose
185,no_limit,base,3,2,win
186,base,no_limit,3,2,win
186,no_limit,base,2,3,lose
187,base,no_limit,3,2,win
187,no_limit,base,2,3,lose
188,base,no_limit,2,3,lose
188,no_limit,base,3,2,win
189,base,no_limit,2,3,lose
189,no_limit,base,3,2,win
190,base,no_limit,3,2,win
190,no_limit,base,2,3,lose
191,base,no_limit,3,2,win
191,no_limit,base,2,3,lose
192,base,no_limit,2,3,lose
192,no_limit,base,2,3,lose
193,base,no_limit,3,2,win
193,no_limit,base,3,2,win
194,base,no_limit,2,3,lose
194,no_limit,base,3,2,win
195,base,no_limit,2,3,lose
195,no_limit,base,3,2,win
196,base,no_limit,3,2,win
196,no_limit,base,3,2,win
197,base,no_limit,2,3,lose
